mStop,mLSP,0.025,0.160,0.500,0.840,0.975,-1.000
145 , 1 , 0.0477 , 0.0639 , 0.0898 , 0.1267 , 0.1719 , 0.1728 
155 , 10 , 0.047 , 0.0631 , 0.0884 , 0.1257 , 0.1721 , 0.1035 
155 , 1 , 0.0528 , 0.0694 , 0.0952 , 0.1313 , 0.1752 , 0.1109 
165 , 20 , 0.0485 , 0.0649 , 0.0913 , 0.1295 , 0.1781 , 0.0932 
165 , 10 , 0.0566 , 0.0751 , 0.105 , 0.1481 , 0.2022 , 0.1439 
165 , 1 , 0.064 , 0.0857 , 0.1196 , 0.1678 , 0.2283 , 0.1121 
175 , 30 , 0.061 , 0.082 , 0.1147 , 0.1637 , 0.2237 , 0.1453 
175 , 20 , 0.0641 , 0.0861 , 0.1216 , 0.1725 , 0.2364 , 0.1225 
175 , 10 , 0.089 , 0.119 , 0.1675 , 0.2376 , 0.3267 , 0.1627 
175 , 1 , 0.1712 , 0.2309 , 0.3271 , 0.4693 , 0.6561 , 0.2599 
185 , 40 , 0.0695 , 0.093 , 0.1309 , 0.1856 , 0.2545 , 0.1207 
185 , 30 , 0.0739 , 0.0989 , 0.1392 , 0.1974 , 0.2706 , 0.1054 
185 , 20 , 0.0984 , 0.1321 , 0.1865 , 0.2676 , 0.3694 , 0.1021 
185 , 10 , 0.2341 , 0.3157 , 0.4473 , 0.6523 , 0.9039 , 0.3735 
185 , 1 , 0.1873 , 0.2518 , 0.3525 , 0.5001 , 0.6811 , 0.359 
195 , 50 , 0.0845 , 0.1134 , 0.1602 , 0.2285 , 0.3143 , 0.1258 
195 , 40 , 0.0827 , 0.1107 , 0.1558 , 0.2222 , 0.3057 , 0.1432 
195 , 30 , 0.1045 , 0.1404 , 0.1982 , 0.2836 , 0.3908 , 0.167 
195 , 20 , 0.2554 , 0.3431 , 0.4844 , 0.691 , 0.9506 , 0.4515 
195 , 10 , 0.2054 , 0.2748 , 0.3867 , 0.5486 , 0.7569 , 0.3616 
195 , 1 , 0.2075 , 0.2776 , 0.3906 , 0.5526 , 0.7585 , 0.2787 
205 , 60 , 0.1017 , 0.1367 , 0.1914 , 0.2723 , 0.3727 , 0.2185 
205 , 50 , 0.0872 , 0.1175 , 0.1665 , 0.2395 , 0.3302 , 0.1667 
205 , 40 , 0.1076 , 0.1446 , 0.2041 , 0.2928 , 0.4068 , 0.1788 
205 , 30 , 0.2822 , 0.3776 , 0.5312 , 0.7578 , 1.0359 , 0.5591 
205 , 20 , 0.2418 , 0.3251 , 0.4551 , 0.6455 , 0.8791 , 0.5578 
205 , 10 , 0.2086 , 0.279 , 0.3926 , 0.5569 , 0.7634 , 0.6082 
205 , 1 , 0.1907 , 0.2571 , 0.3643 , 0.5225 , 0.7214 , 0.267 
215 , 70 , 0.1204 , 0.1618 , 0.2266 , 0.3214 , 0.4406 , 0.281 
215 , 60 , 0.1019 , 0.1371 , 0.1919 , 0.2722 , 0.3756 , 0.1641 
215 , 50 , 0.0961 , 0.1296 , 0.1836 , 0.2634 , 0.3636 , 0.2108 
215 , 40 , 0.2999 , 0.4032 , 0.5645 , 0.8007 , 1.0976 , 0.6918 
215 , 30 , 0.2009 , 0.2709 , 0.3838 , 0.5505 , 0.7649 , 0.2866 
215 , 20 , 0.1973 , 0.2661 , 0.377 , 0.5437 , 0.7556 , 0.2928 
215 , 10 , 0.1769 , 0.2372 , 0.3379 , 0.486 , 0.6764 , 0.2948 
225 , 80 , 0.1204 , 0.1618 , 0.2266 , 0.3223 , 0.4412 , 0.3417 
225 , 70 , 0.102 , 0.137 , 0.1934 , 0.2758 , 0.3819 , 0.136 
225 , 60 , 0.1138 , 0.1529 , 0.2158 , 0.3079 , 0.4236 , 0.2634 
225 , 50 , 0.2606 , 0.35 , 0.4941 , 0.7049 , 0.976 , 0.6096 
225 , 40 , 0.2075 , 0.2776 , 0.3906 , 0.5541 , 0.7596 , 0.2867 
225 , 30 , 0.159 , 0.2144 , 0.3037 , 0.4357 , 0.6053 , 0.2783 
225 , 20 , 0.1329 , 0.1783 , 0.2539 , 0.3662 , 0.5105 , 0.2241 
235 , 90 , 0.1442 , 0.1929 , 0.2715 , 0.3851 , 0.5279 , 0.4574 
235 , 80 , 0.1159 , 0.1556 , 0.2197 , 0.3134 , 0.4312 , 0.2543 
235 , 70 , 0.1193 , 0.1596 , 0.2246 , 0.3195 , 0.4374 , 0.2906 
235 , 60 , 0.3083 , 0.4109 , 0.5762 , 0.8173 , 1.1204 , 0.8159 
235 , 50 , 0.1987 , 0.2658 , 0.374 , 0.5335 , 0.734 , 0.4505 
235 , 40 , 0.154 , 0.2068 , 0.292 , 0.4177 , 0.5775 , 0.3335 
235 , 30 , 0.1183 , 0.1582 , 0.2227 , 0.3158 , 0.433 , 0.1921 
245 , 100 , 0.1613 , 0.2158 , 0.3037 , 0.4332 , 0.5922 , 0.517 
245 , 90 , 0.1416 , 0.1912 , 0.2686 , 0.3831 , 0.527 , 0.3176 
245 , 80 , 0.1416 , 0.1895 , 0.2666 , 0.3771 , 0.5177 , 0.3825 
245 , 70 , 0.2625 , 0.353 , 0.4941 , 0.699 , 0.9533 , 0.8779 
245 , 60 , 0.1808 , 0.241 , 0.3379 , 0.4793 , 0.657 , 0.3746 
245 , 50 , 0.1416 , 0.1902 , 0.2686 , 0.3831 , 0.527 , 0.2843 
245 , 40 , 0.1084 , 0.1458 , 0.2041 , 0.2912 , 0.398 , 0.1991 
255 , 110 , 0.1707 , 0.2446 , 0.3428 , 0.4862 , 0.6622 , 0.4584 
255 , 100 , 0.1488 , 0.1999 , 0.2822 , 0.4026 , 0.5503 , 0.2519 
255 , 90 , 0.1421 , 0.1909 , 0.2695 , 0.3834 , 0.5248 , 0.3934 
255 , 80 , 0.2584 , 0.3456 , 0.4863 , 0.6899 , 0.9457 , 0.5713 
255 , 70 , 0.1805 , 0.2428 , 0.3398 , 0.4821 , 0.6608 , 0.5267 
255 , 60 , 0.1344 , 0.1807 , 0.2529 , 0.3598 , 0.4925 , 0.3458 
255 , 50 , 0.1045 , 0.1404 , 0.1982 , 0.2812 , 0.388 , 0.195 
265 , 120 , 0.1888 , 0.2526 , 0.3555 , 0.5057 , 0.6922 , 0.351 
